country_code,year,compulsory_education_duration,education_expenditure_gdp_rate,literacy_rate,completion_rate,region,income_group,country_name,learning_outcome,gdppc,population,education_spent
CMR,2006,6.0,2.74145007133484,68.4091567993164,4.72077989578247,Sub-Saharan Africa,Lower middle income,Cameroon,414.79944,2269.518,18746.24091,62.21770282995704
COD,2006,6.0,0.814840018749237,67.1729888916016,8.70283973217011,Sub-Saharan Africa,Low income,"Congo, Dem. Rep.",364.58054,515.2584,63479.42717,7.284669767618178
COG,2006,10.0,1.6810200214386,76.1147918701172,23.94841957092285,Sub-Saharan Africa,Lower middle income,"Congo, Rep.",342.49246,5016.0576,3701.675809,81.03705488795215
COL,2006,10.0,3.91671991348267,92.2996826171875,39.5853894551595,Latin America & Caribbean,Upper middle income,Colombia,411.3992549999999,10039.6831,41920.33823,393.22626722825424
COM,2006,6.0,2.25841999053955,68.4892272949219,,Sub-Saharan Africa,Lower middle income,Comoros,326.36484,1388.0026,640.0,27.7753115004301
CPV,2006,6.0,6.52960014343262,76.1104431152344,,Sub-Saharan Africa,Lower middle income,Cabo Verde,,5140.8706,478.0,335.6782940712854
CRI,2006,11.0,4.61613988876343,94.8681869506836,19.147610505421934,Latin America & Caribbean,Upper middle income,Costa Rica,456.74397,10880.4767,4275.278206,502.2580250363109
CUB,2006,9.0,9.05716991424561,99.799072265625,54.69051647186277,Latin America & Caribbean,Upper middle income,Cuba,524.26944,5416.1412,11266.0,490.5491112794612
CUW,2006,9.0,,,,Latin America & Caribbean,High income,Curaçao,,,,
CYM,2006,12.0,,,67.90695699055989,Latin America & Caribbean,High income,Cayman Islands,,,,
CYP,2006,10.0,6.3302698135376,96.8036270141602,63.54232279459634,Europe & Central Asia,High income,Cyprus,472.7835675,27142.0176,882.3429484,1718.1629469178627
CZE,2006,9.0,4.1955099105835,,70.71055380503337,Europe & Central Asia,High income,Czech Republic,513.9106633333333,23888.164,10215.28241,1002.2302880764397
DEU,2006,13.0,4.2939600944519,,72.81795438130696,Europe & Central Asia,High income,Germany,532.2623133333334,38014.1369,82321.86509,1632.3118687363144
DJI,2006,10.0,8.27877998352051,,,Middle East & North Africa,Lower middle income,Djibouti,,2342.2192,679.0,193.9071742997742
DMA,2006,12.0,4.02858018875122,,40.35130675633747,Latin America & Caribbean,Upper middle income,Dominica,,7133.7813,72.0,224.95687654195302
DNK,2006,9.0,7.72990989685059,,32.5316505432129,Europe & Central Asia,High income,Denmark,530.139495,44025.4827,5437.287365,3403.1301443635443
DOM,2006,9.0,1.84465003013611,86.996467590332,11.399999737739549,Latin America & Caribbean,Upper middle income,Dominican Republic,357.09944666666667,9059.8844,9044.274058,135.11503095182883
DZA,2006,10.0,6.59742021560669,72.648681640625,39.54939031600954,Middle East & North Africa,Lower middle income,Algeria,,10385.7791,33286.41485,331.45439163208016
ECU,2006,10.0,1.15093004703522,90.9840316772461,43.065445582071966,Latin America & Caribbean,Upper middle income,Ecuador,382.271805,8521.5598,13917.057,79.50904440920729
EGY,2006,9.0,4.00178003311157,66.3699111938477,35.66621303558347,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep.",413.642655,8509.6144,76275.18496,340.5360499539869
ERI,2006,,2.12700009346008,52.5139503479004,,Sub-Saharan Africa,Low income,Eritrea,,,,
ESP,2006,10.0,4.1848201751709,97.7521362304688,58.01877085367837,Europe & Central Asia,High income,Spain,501.48894333333334,31907.4235,44949.55034,1335.268296005221
EST,2006,9.0,4.81315994262695,99.7671966552734,32.411491394043,Europe & Central Asia,High income,Estonia,526.6786733333333,24578.8162,1316.174831,1083.853404702346
ETH,2006,8.0,5.49096012115479,29.8203392028809,,Sub-Saharan Africa,Low income,Ethiopia,,880.6544,76326.32813,48.35638190919499
FIN,2006,9.0,5.92838001251221,,30.0424709320068,Europe & Central Asia,High income,Finland,561.5285433333333,38160.7026,5266.268028,2262.3114655726267
FJI,2006,,5.6553201675415,,42.324710528055796,East Asia & Pacific,Upper middle income,Fiji,,,,
FRA,2006,10.0,5.68792009353638,,64.6149508158366,Europe & Central Asia,High income,France,513.8668083333333,36166.1597,63496.87629,1781.6316247243929
FRO,2006,,,,,Europe & Central Asia,High income,Faroe Islands,,,,
FSM,2006,,6.70687007904053,,,East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts.",,,,
GAB,2006,10.0,3.82709002494812,72.2336730957031,,Sub-Saharan Africa,Upper middle income,Gabon,443.16043,12342.7793,1384.117847,407.118171192661
GBR,2006,11.0,4.9968900680542,,7.9289698600769,Europe & Central Asia,High income,United Kingdom,514.1801766666666,36214.0688,61107.99035,1809.5772071055148
GEO,2006,9.0,3.00364995002747,99.6523513793945,71.74490801493327,Europe & Central Asia,Upper middle income,Georgia,470.8356,7398.0526,4826.383956,222.21160322290595
GHA,2006,9.0,5.25982999801636,57.8974685668945,16.5,Sub-Saharan Africa,Lower middle income,Ghana,265.51416,2503.9577,21395.6137,131.7039182422405
GIB,2006,10.0,,,,Europe & Central Asia,High income,Gibraltar,,,,
GIN,2006,6.0,1.84906005859375,29.7040195465088,9.95954990386963,Sub-Saharan Africa,Low income,Guinea,360.38644,1188.4846,8649.52,21.94103541015625
GMB,2006,9.0,0.751630008220673,36.8177299499512,4.0512900352478,Sub-Saharan Africa,Low income,"Gambia, The",,1530.6844,1589.0,11.505083281552562
GNB,2006,9.0,5.24617004394531,41.3577690124512,,Sub-Saharan Africa,Low income,Guinea-Bissau,,1233.8132,1379.383,65.89622384223934
GNQ,2006,5.0,2.18797993659973,88.3082962036133,,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,,36615.7057,583.0,212.50156065318234
GRC,2006,9.0,3.96395993232727,93.0443115234375,58.467985153198235,Europe & Central Asia,High income,Greece,479.44613333333336,27731.1109,10947.74685,1034.2575650214733
GRD,2006,12.0,3.92673993110657,98.5999984741211,10.003589630127,Latin America & Caribbean,Upper middle income,Grenada,,,,
GRL,2006,,,,,Europe & Central Asia,High income,Greenland,,,,
GTM,2006,16.0,3.03285002708435,69.1017303466797,15.977449655532837,Latin America & Caribbean,Upper middle income,Guatemala,381.5069,6305.8186,13511.96311,191.24602111798998
GUM,2006,0.0,,99.3691482543945,86.1523666381836,East Asia & Pacific,High income,Guam,,,,
GUY,2006,6.0,3.11891007423401,,32.96383888522783,Latin America & Caribbean,Upper middle income,Guyana,,,,
HKG,2006,9.0,3.84278988838196,,59.839851061503104,East Asia & Pacific,High income,"Hong Kong SAR, China",557.7541333333334,40172.8544,6778.813902,1543.7583867576072
HND,2006,9.0,2.61744999885559,80.0110321044922,6.616409977277123,Latin America & Caribbean,Lower middle income,Honduras,,4045.2976,7359.013,82.81157145314286
HRV,2006,8.0,3.81964993476868,98.1466827392578,61.27279376983643,Europe & Central Asia,High income,Croatia,493.47506000000004,18707.4909,4070.136729,635.1533312225615
HTI,2006,6.0,1.07398998737335,48.6850204467773,10.0275402069092,Latin America & Caribbean,Lower middle income,Haiti,,1493.0382,9216.0,17.49227683446738
HUN,2006,13.0,5.29608011245728,98.8582916259766,68.1636635462443,Europe & Central Asia,High income,Hungary,528.1732816666666,19253.0631,10069.32105,1019.657645877951
IDN,2006,9.0,2.8728199005127,91.9822692871094,43.47424316406252,East Asia & Pacific,Lower middle income,Indonesia,409.08866333333333,6782.6245,229289.3001,186.21653356244119
IMN,2006,,,,,Europe & Central Asia,High income,Isle of Man,,,,
IND,2006,,3.14284992218018,62.7544708251953,16.2313499450684,South Asia,Lower middle income,India,,3629.4111,1108735.948,114.06694393194881
IRL,2006,10.0,4.54747009277344,,61.4764289855957,Europe & Central Asia,High income,Ireland,521.5818866666667,51296.1944,4267.114542,2332.679099070924
IRN,2006,8.0,4.28998994827271,82.3313217163086,42.05801486968995,Middle East & North Africa,Lower middle income,"Iran, Islamic Rep.",420.93277,14185.7533,70933.41677,608.5673906567644
IRQ,2006,6.0,3.55150008201599,74.0522003173828,,Middle East & North Africa,Upper middle income,Iraq,,7117.6135,28575.71159,145.54047336101527
ISL,2006,10.0,7.19521999359131,,62.3840837478638,Europe & Central Asia,High income,Iceland,508.7182366666667,38707.2131,303.6545397,2785.069135933195
ISR,2006,11.0,5.75588989257813,91.7514114379883,69.73474121093753,Middle East & North Africa,High income,Israel,487.00615500000004,26571.2554,6878.919053,1529.4122038997207
ITA,2006,12.0,4.52545022964478,98.416618347168,57.69918823242187,Europe & Central Asia,High income,Italy,517.5951333333334,35713.8042,58168.21948,1616.210434183787
JAM,2006,6.0,4.61641979217529,79.9201202392578,32.589038848877,Latin America & Caribbean,Upper middle income,Jamaica,,7286.9667,2709.93674,326.55493218221744
JOR,2006,10.0,4.94416999816895,91.1307525634766,29.490090131759658,Middle East & North Africa,Upper middle income,Jordan,422.0346366666667,10404.5617,5481.023538,362.92648723288187
JPN,2006,9.0,3.43330001831055,,62.17437044779461,East Asia & Pacific,High income,Japan,528.3508,35333.1131,127848.868,1112.200906593114
KAZ,2006,9.0,2.62678003311157,99.5126571655273,86.42745590209965,Europe & Central Asia,Upper middle income,Kazakhstan,,16786.5548,15917.86541,440.9458697337319
KEN,2006,8.0,7.04983997344971,82.2290802001953,9.19999980926514,Sub-Saharan Africa,Lower middle income,Kenya,431.55427499999996,2255.2586,37092.66179,158.9921222874623
KGZ,2006,9.0,5.54986000061035,98.7016067504883,66.87814394632976,Europe & Central Asia,Lower middle income,Kyrgyz Republic,332.30789,3594.5652,5095.60792,199.4933362306594
KHM,2006,,1.71982002258301,73.6099472045898,,East Asia & Pacific,Lower middle income,Cambodia,,2286.3847,13465.63975,33.809573782474565
KIR,2006,,11.9881200790405,,10.5359601974487,East Asia & Pacific,Lower middle income,Kiribati,,,,
KNA,2006,12.0,4.05927991867065,,31.6161594390869,Latin America & Caribbean,High income,St. Kitts and Nevis,,,,
KOR,2006,9.0,3.3692901134491,,68.37946383158366,East Asia & Pacific,High income,"Korea, Rep.",552.4925533333334,28516.4838,48438.0,725.7684261402617
KWT,2006,9.0,3.75997996330261,93.2821197509766,36.6118097305298,Middle East & North Africa,High income,Kuwait,330.30032,68546.1429,2426.537855,2577.3212386567748
LAO,2006,5.0,2.95879006385803,72.702262878418,,East Asia & Pacific,Lower middle income,Lao PDR,,2896.1355,5931.0,85.69056940986508
LBN,2006,9.0,2.77975988388062,,14.699999968210856,Middle East & North Africa,Upper middle income,Lebanon,413.22214,10236.8683,5348.353529,284.560358369092
LBR,2006,6.0,,32.1067695617676,9.699580192565914,Sub-Saharan Africa,Low income,Liberia,,769.293,3311.0,
LBY,2006,9.0,2.26416993141174,86.0999984741211,20.6499996185303,Middle East & North Africa,Upper middle income,Libya,,18657.0617,5835.483203,205.22588636952398
LCA,2006,10.0,4.69669008255005,,13.99450016021729,Latin America & Caribbean,Upper middle income,St. Lucia,,9135.3395,158.0,429.0585843037773
LIE,2006,9.0,2.05380988121033,,96.6719207763672,Europe & Central Asia,High income,Liechtenstein,530.4333,,,
LKA,2006,9.0,3.05141997337341,90.8088302612305,58.135958989461265,South Asia,Lower middle income,Sri Lanka,,6904.0361,19709.81671,166.00399018965464
LSO,2006,,11.2712802886963,86.2544326782227,13.56632471084594,Sub-Saharan Africa,Lower middle income,Lesotho,316.33536000000004,2056.3297,1919.0,231.77468414670773
LTU,2006,10.0,4.82572984695435,99.645751953125,69.8145008087158,Europe & Central Asia,High income,Lithuania,516.213205,17916.0592,3267.254404,864.5806162124109
LUX,2006,11.0,3.55579996109009,,42.566580772399895,Europe & Central Asia,High income,Luxembourg,528.1563933333333,54920.81,474.0178339,1796.6626532959315
LVA,2006,11.0,4.69612979888916,99.7465667724609,59.240853309631355,Europe & Central Asia,High income,Latvia,519.9115800000001,19128.6892,2218.723096,898.3080736580924
MAC,2006,10.0,2.19386005401611,93.4997482299805,52.08811378479007,East Asia & Pacific,High income,"Macao SAR, China",521.1461266666666,,,
MAF,2006,,,,,Latin America & Caribbean,High income,St. Martin (French part),,,,
MAR,2006,9.0,5.14016008377075,52.3062591552734,5.0,Middle East & North Africa,Lower middle income,Morocco,322.58005,6076.9525,30819.76489,242.65520200870557
MCO,2006,,1.2438600063324,,57.1057586669922,Europe & Central Asia,High income,Monaco,,,,
MDA,2006,9.0,7.49899005889893,96.6538009643555,70.1999969482422,Europe & Central Asia,Upper middle income,Moldova,499.88382,4243.0704,3918.917586,318.1874274880831
MDG,2006,5.0,2.83097004890442,58.9359397888184,,Sub-Saharan Africa,Low income,Madagascar,336.71716,1322.4795,18653.42,37.43899854790092
MDV,2006,7.0,4.64523983001709,98.3979034423828,18.84864934285483,South Asia,Upper middle income,Maldives,,,,
MEX,2006,11.0,4.69992017745972,91.7345199584961,45.82122643788653,Latin America & Caribbean,Upper middle income,Mexico,436.32327333333336,14287.5583,105730.2487,671.503835408021
MHL,2006,9.0,11.8198003768921,,,East Asia & Pacific,Upper middle income,Marshall Islands,,,,
MKD,2006,9.0,3.30014991760254,96.1289291381836,63.1988296508789,Europe & Central Asia,Upper middle income,North Macedonia,442.39548,9466.2641,2061.665,262.8265069545022
MLI,2006,9.0,3.52218008041382,26.176549911499,10.32546043396,Sub-Saharan Africa,Low income,Mali,322.59448,1438.2079,12043.06237,49.83154665854886
MLT,2006,11.0,4.43492984771729,92.3630905151367,56.71758747100833,Middle East & North Africa,High income,Malta,,22233.7176,407.5066996,941.6686989151106
MMR,2006,5.0,1.20247995853424,89.9417572021484,9.25,East Asia & Pacific,Lower middle income,Myanmar,,3246.6934,48673.70767,17.1191119420725
MNE,2006,9.0,,97.7734603881836,64.71912829081215,Europe & Central Asia,Upper middle income,Montenegro,420.90816,10307.647,620.482,
MNG,2006,12.0,4.32572984695435,97.7688522338867,87.33705520629886,East Asia & Pacific,Lower middle income,Mongolia,,5426.8536,2633.0,187.48714130586737
MNP,2006,,,,,East Asia & Pacific,High income,Northern Mariana Islands,,,,
MOZ,2006,,3.87146997451782,48.1588401794434,0.899999976158142,Sub-Saharan Africa,Low income,Mozambique,397.213055,1099.3418,19058.6512,42.56068770432375
MRT,2006,9.0,1.95851004123688,51.2076797485352,5.09999990463257,Sub-Saharan Africa,Lower middle income,Mauritania,278.09769,2807.1989,2909.0,54.97927233399124
MUS,2006,11.0,3.69751000404358,84.303092956543,30.304834524790465,Sub-Saharan Africa,Upper middle income,Mauritius,421.53687,15042.5414,1253.425,556.1994731273973
MWI,2006,8.0,3.21566009521484,64.1342468261719,9.620100369056056,Sub-Saharan Africa,Low income,Malawi,296.60756,929.4762,13529.1938,29.127304437751736
MYS,2006,6.0,4.48576021194458,88.6877593994141,64.4276885986328,East Asia & Pacific,Upper middle income,Malaysia,509.39381000000003,16353.9241,25877.96598,733.5978203694157
NAM,2006,7.0,6.03171014785767,84.9442596435547,26.948700428009044,Sub-Saharan Africa,Upper middle income,Namibia,305.89644,7208.6885,2085.828953,434.80719578194885
NCL,2006,0.0,,96.1379165649414,,East Asia & Pacific,High income,New Caledonia,,,,
NER,2006,,2.55852007865906,28.672420501709,0.400000013411045,Sub-Saharan Africa,Low income,Niger,299.91278,771.4197,13458.18746,19.736927915231483
NGA,2006,9.0,3.0636899471283,70.1983489990234,42.098573684692404,Sub-Saharan Africa,Lower middle income,Nigeria,,3564.6323,148022.6308,62.836280815601434
NIC,2006,7.0,2.42200994491577,78.0029830932617,,Latin America & Caribbean,Lower middle income,Nicaragua,388.166965,3525.5537,5338.0,73.8507162353992
NLD,2006,13.0,5.04402017593384,,71.1303316752116,Europe & Central Asia,High income,Netherlands,539.4330383333333,42286.5101,16346.10155,2132.940101142301
NOR,2006,10.0,6.3827600479126,,64.00560569763185,Europe & Central Asia,High income,Norway,499.3892583333333,71310.529,4661.262179,4551.579954967128
NPL,2006,,3.60536003112793,48.6089706420898,26.91463947296145,South Asia,Lower middle income,Nepal,,1884.1872,25484.0,67.93173222042847
NRU,2006,10.0,,,,East Asia & Pacific,High income,Nauru,,,,
NZL,2006,10.0,5.95276021957397,,30.2340698242188,East Asia & Pacific,High income,New Zealand,533.56479,30798.6311,4131.840434,1833.368660294137
OMN,2006,,3.85933995246887,81.3633117675781,33.511373519897475,Middle East & North Africa,High income,Oman,,33374.8939,2524.950506,1288.050614376796
PAK,2006,12.0,2.39550995826721,54.1512107849121,28.228882948557555,South Asia,Lower middle income,Pakistan,,4062.6665,168846.0041,97.32158057868591
PAN,2006,11.0,3.5786600112915,91.8996200561523,44.7659829457601,Latin America & Caribbean,Upper middle income,Panama,390.2750266666667,12195.7468,3206.0,385.4046201651607
PER,2006,12.0,2.65281009674072,88.6993408203125,60.410556793212905,Latin America & Caribbean,Upper middle income,Peru,401.52894999999995,7560.8972,27794.18702,200.5762443257864
PHL,2006,10.0,2.42579007148743,92.590690612793,72.66189193725586,East Asia & Pacific,Lower middle income,Philippines,361.21942,4908.6169,91739.97087,119.07274140755406
PLW,2006,12.0,7.5219898223877,91.9214172363281,,East Asia & Pacific,High income,Palau,,,,
PNG,2006,,7.38970994949341,57.34326171875,,East Asia & Pacific,Lower middle income,Papua New Guinea,,,,
POL,2006,10.0,5.20765018463135,98.7427368164063,54.655478477478056,Europe & Central Asia,High income,Poland,516.4412416666667,16711.448,38539.05229,870.2737526265721
PRI,2006,16.0,6.68102979660034,89.6224975585938,20.7416801452637,Latin America & Caribbean,High income,Puerto Rico,,32195.1606,3805.0,832.6567435503003
PRK,2006,11.0,,,,East Asia & Pacific,Low income,"Korea, Dem. People's Rep.",,1778.4957,23764.0,
PRT,2006,9.0,4.90767002105713,87.9478530883789,43.6842476526896,Europe & Central Asia,High income,Portugal,486.03515666666664,24809.0396,10458.49058,1217.5457989613917
PRY,2006,9.0,2.86989998817444,90.2718200683594,35.53525932629901,Latin America & Caribbean,Upper middle income,Paraguay,391.93855666666667,6128.6424,6082.827448,168.65427325475196
PSE,2006,10.0,,93.4508666992188,51.075069427490234,Middle East & North Africa,Lower middle income,West Bank and Gaza,412.9366,4193.1537,3559.0,
PYF,2006,,,,,East Asia & Pacific,High income,French Polynesia,,,,
QAT,2006,9.0,3.97187995910645,86.7316131591797,58.646640777587905,Middle East & North Africa,High income,Qatar,352.4951033333333,90120.918,957.9763943,3050.7382408863105
ROU,2006,10.0,4.30650997161865,97.2975921630859,61.16908613840739,Europe & Central Asia,Upper middle income,Romania,459.16132333333337,12823.2318,20886.9406,552.2337561507736
RUS,2006,9.0,3.86626005172729,99.4409713745117,83.86613845825197,Europe & Central Asia,Upper middle income,Russian Federation,522.1753933333333,18008.3361,142485.1274,696.2491046150842
RWA,2006,6.0,4.82785987854004,64.8886032104492,4.23764002323151,Sub-Saharan Africa,Low income,Rwanda,,1261.7609,8834.110145,51.52460071901704
SAU,2006,9.0,5.89117002487183,82.8577423095703,44.17127482096353,Middle East & North Africa,High income,Saudi Arabia,364.71158,34483.0435,24237.20049,2031.454722335514
SDN,2006,6.0,1.96301996707916,61.3458709716797,2.7499999105930346,Sub-Saharan Africa,Low income,Sudan,,2903.8009,30686.4718,57.00219147122435
SEN,2006,11.0,3.80786991119385,41.8911514282227,6.399070123831424,Sub-Saharan Africa,Lower middle income,Senegal,351.12286,2104.4369,12082.28922,80.13421951516061
SGP,2006,6.0,2.85911989212036,92.5494003295898,60.0445639292399,East Asia & Pacific,High income,Singapore,558.27283,48073.5881,4713.561,1374.4815202231061
SLB,2006,,2.3150200843811,76.5999984741211,,East Asia & Pacific,Lower middle income,Solomon Islands,,,,
SLE,2006,9.0,2.7969799041748,34.826789855957,20.463990211486852,Sub-Saharan Africa,Low income,Sierra Leone,,1247.2528,4818.0,34.226685042085585
SLV,2006,9.0,3.49298000335693,83.5594635009766,31.190980275472004,Latin America & Caribbean,Lower middle income,El Salvador,400.84723,6782.2312,5905.773,236.90197959743477
SMR,2006,10.0,,,,Europe & Central Asia,High income,San Marino,,,,
SOM,2006,,1.27727997303009,5.40465021133423,,Sub-Saharan Africa,Low income,Somalia,,,,
SRB,2006,8.0,,96.3972396850586,47.28570938110354,Europe & Central Asia,Upper middle income,Serbia,441.78133333333335,9902.4261,7476.102,
SSD,2006,,,,,Sub-Saharan Africa,Low income,South Sudan,,,,
STP,2006,6.0,4.27118015289307,84.9085083007813,15.79895472526551,Sub-Saharan Africa,Lower middle income,São Tomé and Principe,,2713.7619,161.0,115.90965966957388
SUR,2006,6.0,,89.5980606079102,47.32831780115763,Latin America & Caribbean,Upper middle income,Suriname,,,,
SVK,2006,10.0,3.70770001411438,,55.72993659973145,Europe & Central Asia,High income,Slovak Republic,513.4204916666666,19099.4277,5335.973226,708.1494835286658
SVN,2006,9.0,5.59066009521484,99.6999969482422,71.03337987263997,Europe & Central Asia,High income,Slovenia,519.6991516666667,26182.7797,1999.886213,1463.7902165059118
SWE,2006,9.0,6.36429023742676,,72.6293640136719,Europe & Central Asia,High income,Sweden,533.1840116666667,40992.2995,9080.680087,2608.8689151752387
SWZ,2006,,6.55475997924805,81.6606979370117,28.3126993179321,Sub-Saharan Africa,Lower middle income,Eswatini,396.459565,6187.7662,1021.329,405.59322248703785
SXM,2006,12.0,,,,Latin America & Caribbean,High income,Sint Maarten (Dutch part),,,,
SYC,2006,10.0,4.77012014389038,91.8364562988281,57.16448211669922,Sub-Saharan Africa,High income,Seychelles,445.53711,16824.6125,85.0,802.5542299939989
SYR,2006,9.0,5.34600019454956,80.8445205688477,22.071196238199875,Middle East & North Africa,Low income,Syrian Arab Republic,384.07066,6901.7779,19043.75323,368.9690599613785
TCA,2006,13.0,2.54099988937378,,24.5454502105713,Latin America & Caribbean,High income,Turks and Caicos Islands,,,,
TCD,2006,10.0,1.69476997852325,28.3814296722412,5.884300231933595,Sub-Saharan Africa,Low income,Chad,350.11517,1225.5163,9966.942615,21.457567436581794
TGO,2006,10.0,3.43500995635986,56.888370513916,2.7157701253891,Sub-Saharan Africa,Low income,Togo,322.86356,1144.8814,5865.0,39.326790078512154
THA,2006,9.0,4.05038022994995,93.5064697265625,32.19500382741294,East Asia & Pacific,Upper middle income,Thailand,437.23787666666664,12180.7114,64420.4807,493.3651264128598
TJK,2006,9.0,3.40350008010864,99.45068359375,69.79994455973306,Europe & Central Asia,Lower middle income,Tajikistan,,2524.8447,6943.623414,85.93309138711875
TKM,2006,9.0,,98.7783203125,66.63702551523843,Europe & Central Asia,Upper middle income,Turkmenistan,,9752.3555,4718.918008,
TLS,2006,6.0,,37.5999984741211,,East Asia & Pacific,Lower middle income,Timor-Leste,,,,
TON,2006,6.0,3.91376996040344,99.0184631347656,40.863426685333245,East Asia & Pacific,Upper middle income,Tonga,,,,
TTO,2006,6.0,3.13660001754761,97.9000015258789,20.1788898706436,Latin America & Caribbean,High income,Trinidad and Tobago,435.58774,29792.423,1234.373106,746.9520202909995
TUN,2006,9.0,6.43879985809326,74.2969970703125,8.856715202331525,Middle East & North Africa,Lower middle income,Tunisia,399.15844666666663,9420.0232,10086.6271,606.5364404339522
TUR,2006,8.0,2.72806000709534,88.1193923950195,39.86404768625895,Europe & Central Asia,Upper middle income,Turkey,450.2745466666667,15425.1887,73149.30113,420.80840394368965
TUV,2006,,3.73082995414734,,24.3174991607666,East Asia & Pacific,Upper middle income,Tuvalu,,,,
TZA,2006,7.0,3.00991988182068,69.4309005737305,18.593966682751986,Sub-Saharan Africa,Lower middle income,Tanzania,408.32396,1621.9965,40272.13238,48.82079513593557
UGA,2006,,4.95237016677856,71.3731384277344,15.644959767659524,Sub-Saharan Africa,Low income,Uganda,365.877975,1501.3855,29021.36076,67.58426271524232
UKR,2006,11.0,6.21479988098145,99.4304122924805,74.62249755859374,Europe & Central Asia,Lower middle income,Ukraine,,9355.9879,46685.257,581.4559248738389
URY,2006,9.0,2.88025999069214,97.7896270751953,46.56177743275959,Latin America & Caribbean,High income,Uruguay,450.703825,13223.7808,3297.693853,380.879267639229
USA,2006,12.0,,,76.70026143391927,North America,High income,United States,521.4303925,50489.86,298988.4271,
UZB,2006,11.0,,98.642578125,,Europe & Central Asia,Lower middle income,Uzbekistan,,5535.1218,26810.27495,
VCT,2006,12.0,6.35080003738403,95.6321563720703,9.60000038146973,Latin America & Caribbean,Upper middle income,St. Vincent and the Grenadines,,,,
VEN,2006,14.0,3.66905999183655,92.9798278808594,44.48542245229087,Latin America & Caribbean,Lower middle income,"Venezuela, RB",,16253.6858,26117.31455,596.3574828866184
VGB,2006,12.0,3.57675004005432,,55.5467796325684,Latin America & Caribbean,High income,British Virgin Islands,,,,
VIR,2006,,,,,Latin America & Caribbean,High income,Virgin Islands (U.S.),,,,
VNM,2006,9.0,,90.1561279296875,7.978930115699795,East Asia & Pacific,Lower middle income,Vietnam,,3828.9077,85501.78739,
VUT,2006,,8.44151020050049,78.4000015258789,25.25,East Asia & Pacific,Lower middle income,Vanuatu,,,,
WSM,2006,8.0,3.84138989448547,97.9443283081055,96.2914886474609,East Asia & Pacific,Lower middle income,Samoa,,,,
XKX,2006,,,,,Europe & Central Asia,Upper middle income,Kosovo,,,,
YEM,2006,9.0,9.23766040802002,54.0999984741211,,Middle East & North Africa,Low income,"Yemen, Rep.",,4497.2593,21935.06587,392.51132230364897
ZAF,2006,9.0,5.07256984710693,82.402099609375,47.835546493530295,Sub-Saharan Africa,Upper middle income,South Africa,301.61295,9978.471,48702.91869,506.16491114830933
ZMB,2006,7.0,1.73553001880646,69.1492233276367,11.011550247669236,Sub-Saharan Africa,Lower middle income,Zambia,303.782025,2133.5939,12253.23615,34.19026591460078
ZWE,2006,7.0,44.3339805603027,83.512580871582,37.579114039738975,Sub-Saharan Africa,Lower middle income,Zimbabwe,,1455.7286,12394.46997,935.7626477639762
ABW,2007,,4.81504011154175,97.2912521362305,54.2368342081706,Latin America & Caribbean,High income,Aruba,,,,
AFG,2007,6.0,1.72997999191284,18.1576805114746,4.31551003456116,South Asia,Low income,Afghanistan,,1259.9967,27387.0,21.970745897293067
AGO,2007,6.0,2.28146004676819,67.4054183959961,,Sub-Saharan Africa,Lower middle income,Angola,,5773.5483,15083.49596,104.77234071233302
ALB,2007,8.0,3.27592992782593,98.7129821777344,58.186526139577246,Europe & Central Asia,Upper middle income,Albania,390.8694366666667,7866.1577,2996.971023,257.6898142642838
AND,2007,10.0,2.10469007492065,,61.7403507232666,Europe & Central Asia,High income,Andorra,,,,
ARE,2007,6.0,,90.0338516235352,51.70371691385903,Middle East & North Africa,High income,United Arab Emirates,,65412.801,6161.47628,
ARG,2007,13.0,4.46260023117065,98.6108016967773,45.948209444681794,Latin America & Caribbean,Upper middle income,Argentina,412.1203466666667,17891.9434,40134.52368,798.4459075293219
ARM,2007,10.0,3.01893997192383,99.4001617431641,94.4881362915039,Europe & Central Asia,Upper middle income,Armenia,492.63498749999997,9713.2133,2945.512111,293.23607887192173
ASM,2007,,14.7170495986938,97.3441619873047,81.3000030517578,East Asia & Pacific,Upper middle income,American Samoa,,,,
ATG,2007,11.0,3.39525008201599,98.9499969482422,,Latin America & Caribbean,High income,Antigua and Barbuda,,,,
AUS,2007,10.0,4.66089010238647,,62.7326145172119,East Asia & Pacific,High income,Australia,513.619745,44033.5838,20754.065,2052.356949060252
AUT,2007,9.0,5.14690017700195,,15.8307600021362,Europe & Central Asia,High income,Austria,515.507705,40305.2743,8344.217763,2074.4722342878213
AZE,2007,9.0,2.5492799282074,99.5931930541992,96.8325462341309,Europe & Central Asia,Upper middle income,Azerbaijan,422.8487866666667,12699.4978,8657.369952,323.74574839854034
BDI,2007,,3.632159948349,59.3036193847656,1.859750002622605,Sub-Saharan Africa,Low income,Burundi,358.15155,700.9587,7991.0,25.120733738291506
BEL,2007,12.0,5.79585981369019,,65.34047635396323,Europe & Central Asia,High income,Belgium,522.45936,38082.8733,10627.75907,2106.1217430376873
BEN,2007,6.0,2.36331009864807,28.7021102905273,8.239474773406961,Sub-Saharan Africa,Lower middle income,Benin,313.0061,1904.5496,8335.294,45.01041303056142
